Timestamp,What marine recreation activities do you engage in?,What is your primary marine recreation activity?,How many years of experience do you have in this activity?,"On average, how often do you do this activity per month?","When you do this activity, how long does it typically last?","On average, how many people participate with you when you do this activity?",How long have you been a member of BCMT?,Why did you purchase a BCMT membership?,Have you ever volunteered with BCMT? ,"If Yes, for which activity or activities?",Have you ever used the map at bcmarinetrails.org to plan your marine recreation activities?,"If Yes, how often?",What is your primary reason for visiting bcmarinetrails.org?,"Do you use any mobile applications before, during, or after your marine recreation trips? If yes, please specify which apps and for what purpose?",Have you ever submitted a Site Condition Report (SCR) to BCMT?,How often have you submitted an SCR?,What is your gender?,Which age group do you fall in?,"85% of BCMT members live in British Columbia (BC), Canada. If you live in BC, which region are you located in? If you live outside of BC, please include your state or province location under ""Other"".","If you would like to be entered into our prize draw, please leave us an email where we can contact you at. "
1/19/2021 23:30:55,"Kayaking, Canoeing",Kayaking,9+ years,6-10 times,1 day or less (day-trip),1-2,2-3 years,To support the organization (I access the map)s,No,,Yes,Sometimes,access the maps,1. Komoot for route planning. 2. Windy for winds and weather,No,,Male,65+ years old,Vancouver Island,
1/19/2021 23:38:42,Kayaking,Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,I'm not currently a member of BCMT,"support the BCMT, obtain maps",No,,Yes,Sometimes,"maps, trip reports other trail development and maintenance news","weather, maps, forest sites info ",No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/19/2021 23:43:14,"Sailing, Kayaking, Canoeing, Crabbing and fishing",Crabbing,9+ years,1-2 times,1 day or less (day-trip),1-2,2-3 years,For the map and its campsite info,Yes,Any physical activity,Yes,Often,Trip planning,I use GPS to assist with navigation,No,,Male,65+ years old,Vancouver Coast & Mountains,
1/19/2021 23:44:25,"Kayaking, Canoe with small outboard",Kayaking,9+ years,1-2 times,1 day or less (day-trip),0 (solo),I'm not currently a member of BCMT,,No,,No,,Information about paddling routes.,No.,No,,Male,45-54 years old,Vancouver Coast & Mountains,
1/19/2021 23:45:22,"Sailing, Kayaking, Rowing",Sailing,9+ years,3-5 times,2-3 days,1-2,More than 5 years,,No,,No,,,Navionics ,No,,Male,55-64 years old,Vancouver Island,
1/19/2021 23:46:35,Kayaking,Kayaking,9+ years,1-2 times,4-6 days,1-2,2-3 years,To support ethical kayaking.,No,,Yes,Sometimes,Trip planning,"iNavx - navigation,",No,,Male,65+ years old,Washington State,
1/19/2021 23:48:08,Kayaking,Kayaking,9+ years,6-10 times,1-2 weeks,3-5,More than 5 years,believe in the vision,Yes,shoreline cleanups & director,Yes,Always,map ,no,Yes,Sometimes,Female,65+ years old,Vancouver Island,
1/19/2021 23:48:16,Kayaking,Kayaking,9+ years,1-2 times,1 day or less (day-trip),3-5,1 year or less,I love paddling in Canada and want to stay informed.,No,,Yes,Sometimes,to get info on upcoming trips,,No,,Female,55-64 years old,,
1/19/2021 23:49:20,Stand-up paddling (SUP),Stand-up paddling (SUP),1-2 years,3-5 times,1 day or less (day-trip),1-2,1 year or less,I was looking at the Marine Trail maps and I felt it was a good cause to support ,No,I just signed up as a volunteer for clean and site development.,Yes,Sometimes,Interest in the Sea to Sky Marine trail (I want to paddle it this coming summer),"Windy.com - weather and wind
Tide Times Pro - tides and currents
RiverApp - river flow rates (rarely used)
Google Fit - track GPS
Google Maps - current location, surveying
Google Earth - planning for trips
Go Paddling - to find launch sites",No,,Male,35-44 years old,Vancouver Coast & Mountains,
1/19/2021 23:49:25,"Kayaking, Canoeing",Kayaking,9+ years,3-5 times,2-3 days,3-5,2-3 years,support a good organization and use the map,No,,Yes,Often,map,no,No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/19/2021 23:51:16,Kayaking,Kayaking,9+ years,1-2 times,1-2 weeks,3-5,I'm not currently a member of BCMT,,Yes,Outdoor show 5-6 years ago,Yes,Sometimes,Research,,No,,Male,65+ years old,Vancouver Coast & Mountains,
1/19/2021 23:52:32,"Stand-up paddling (SUP), Kayaking, Canoeing, fishing",Kayaking,9+ years,3-5 times,1-2 weeks,3-5,4-5 years,"access to online resources, great maps, know where the good spots are",No,,Yes,Often,"routes, advice, maps to sites",,No,,Female,45-54 years old,Vancouver Coast & Mountains,
1/19/2021 23:58:41,"Sailing, Kayaking, Canoeing",Kayaking,9+ years,3-5 times,1 day or less (day-trip),3-5,4-5 years,Paddling intrest,Yes,Area rep.,Yes,Often,Map,,Yes,Rarely,Male,55-64 years old,Vancouver Island,
1/19/2021 23:59:33,Kayaking,Kayaking,9+ years,1-2 times,4-6 days,3-5,4-5 years,"Love the idea of having an advocate for marine protected areas, landing spots, camping spot. Love the new camping  sites and map to locate sites to land/camp. Want to continue your fine work.",Yes,"Way back when BCMT was started by Pete McGee doing site location/reconnaissance, plus fund raising.  ",Yes,Sometimes,Following paddling news and finding new camping areas,"Google offline maps before, during trips. ",Yes,Rarely,Male,55-64 years old,Vancouver Coast & Mountains,
1/20/2021 0:00:31,Kayaking,Kayaking,9+ years,3-5 times,2-3 days,1-2,1 year or less,support BCMT,No,,Yes,Very Often,to research/find campsites on the marine map,,No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/20/2021 0:00:56,Kayaking,Kayaking,9+ years,3-5 times,1 day or less (day-trip),1-2,More than 5 years,It seemed like the right thing to do.,Yes,Finding and assessing camping spots,Yes,Sometimes,Information,n/a,Yes,Rarely,Male,65+ years old,Vancouver Island,
1/20/2021 0:01:51,"Stand-up paddling (SUP), Kayaking, Canoeing",Kayaking,9+ years,3-5 times,4-6 days,1-2,4-5 years,"To help with marine trail initiatives, and use of the marine trail site for trip planning",No,,Yes,Often,"I like the newsletters, and the website",no ,Yes,Sometimes,Female,55-64 years old,Vancouver Island,
1/20/2021 0:02:03,Kayaking,Kayaking,5-8 years,3-5 times,1 day or less (day-trip),0 (solo),1 year or less,Future paddles in BC,No,,No,,"None yet, eventually for day or overnight trips","Marine hd, Marine traffic,  deepzoom",No,,Male,65+ years old,Utah. USA,
1/20/2021 0:02:38,Sailing,Sailing,9+ years,3-5 times,1 day or less (day-trip),0 (solo),1 year or less,To support something awesome.  ,No,,Yes,Often,To use the map and get info about sites,Navionics for navigation,No,,Male,45-54 years old,Vancouver Coast & Mountains,
1/20/2021 0:02:52,Kayaking,Kayaking,9+ years,1-2 times,1 day or less (day-trip),0 (solo),1 year or less,Paddling information ,No,,No,,Ideas on where to paddle,,No,,Male,55-64 years old,Vancouver Island,
1/20/2021 0:06:29,Kayaking,Kayaking,5-8 years,1-2 times,2-3 days,1-2,4-5 years,To support the organization and access the resources,No,,Yes,Very Often,the map,"Gaia, PredictWind",No,,Female,35-44 years old,Vancouver Island,
1/20/2021 0:08:04,Kayaking,Kayaking,1-2 years,1-2 times,1 day or less (day-trip),1-2,2-3 years,It was recommended in my paddle Canada class. I like the maps.,No,,Yes,Sometimes,"Maps, newsletter stories","Yes, weather maps and garmin trip tracker",No,,Female,35-44 years old,Vancouver Island,
1/20/2021 0:10:55,"Kayaking, swimmimg/snorkling",Kayaking,9+ years,3-5 times,2-3 days,1-2,1 year or less,support the marine cleanup,No,,Yes,Sometimes,new info on campsites and routes,charts only,No,,Female,55-64 years old,Vancouver Island,
1/20/2021 0:11:15,"Stand-up paddling (SUP), Kayaking, Canoeing",Kayaking,9+ years,1-2 times,4-6 days,3-5,1 year or less,To support its goals,No,,Yes,Sometimes,To use the map,No,No,,Male,65+ years old,Vancouver Coast & Mountains,
1/20/2021 0:14:16,"Stand-up paddling (SUP), Kayaking, Dragon-boating",Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,2-3 years,To support development of marine trails.,No,,Yes,Sometimes,Info for trip planning.,,No,,Female,55-64 years old,Vancouver Coast & Mountains,
1/20/2021 0:15:52,"Sailing, Kayaking",Kayaking,9+ years,1-2 times,4-6 days,3-5,2-3 years,support kayak trail development,No,,No,,,no,No,,Female,65+ years old,"Bellingham, WA",
1/20/2021 0:17:00,Kayaking,Kayaking,3-4 years,1-2 times,1 day or less (day-trip),1-2,2-3 years,"For info, maps, destinations.  To contribute through dues and learn more about BCMT",No,,Yes,Always,"Maps and trip planning, destinations ","Tide Times, weather, Windy",No,,Male,45-54 years old,Vancouver Island,
1/20/2021 0:19:27,"Sailing, Kayaking, Canoeing",Kayaking,9+ years,3-5 times,1 day or less (day-trip),0 (solo),4-5 years,"To support the development of marine trails, cleanups, and access to trail maps",No,,Yes,Sometimes,Maps and trip planning for longer trips in unfamiliar areas,No,No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/20/2021 0:24:09,"Sailing, Kayaking",Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,I'm not currently a member of BCMT,,No,,No,,I like the idea of creating a marine trail. ,Weather network ,No,,Female,55-64 years old,Vancouver Coast & Mountains,
1/20/2021 0:27:58,"Sailing, Kayaking",Kayaking,9+ years,3-5 times,1 day or less (day-trip),0 (solo),More than 5 years,Online,No,,Yes,Sometimes,Information on kayaking in BC. Take longer trips there- 2 weeks +,Tide and weather apps,No,,Male,65+ years old,"Portland, Oregon",
1/20/2021 0:28:03,"Kayaking, Canoeing",Kayaking,9+ years,1-2 times,1-2 weeks,6-10,4-5 years,"Support a good cause, coastal information",No,,Yes,Often,Information and map.,"Tides, weather, windfinder,windy",Yes,Rarely,Male,55-64 years old,Thompson Okanagan,
1/20/2021 0:28:59,"Stand-up paddling (SUP), Kayaking",Kayaking,9+ years,1-2 times,1 day or less (day-trip),More than 10,1 year or less,To volunteer for site surveys. ,Yes,Site survey,No,,Camp sites ,Yes. Navionics and tide/currents apps,No,,Male,55-64 years old,Vancouver Island,
1/20/2021 0:40:12,Kayaking,Kayaking,9+ years,3-5 times,1 day or less (day-trip),1-2,I'm not currently a member of BCMT,,No,,No,,be more aware,Sailflow for wind prediction,No,,Female,55-64 years old,Vancouver Island,
1/20/2021 0:44:02,Kayaking,Kayaking,9+ years,6-10 times,1 day or less (day-trip),More than 10,4-5 years,It’s the right thing to do for such a valuable organization ,Yes,Arranged food for a forum ,Yes,Always,The map,"AyeTides, Navionics, PredictWind, Windy, Wind Alert, Tiny Octopus ",Yes,Sometimes,Female,65+ years old,Vancouver Island,
1/20/2021 0:50:53,Kayaking,Kayaking,9+ years,6-10 times,4-6 days,1-2,4-5 years,To show support to good cause,No,,Yes,Often,map,Garmin with bluechart,No,,Male,55-64 years old,Vancouver Island,
1/20/2021 0:54:43,"Sailing, Kayaking, Canoeing",Kayaking,9+ years,3-5 times,1-2 weeks,3-5,4-5 years,want to support and stay connected,No,,Yes,Sometimes,,no,No,,Female,55-64 years old,Vancouver Island,
1/20/2021 0:57:15,"Kayaking, Canoeing",Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,2-3 years,Help promote and protect marine recreation sites,Yes,Clean up and building of sites,Yes,Sometimes,"Site listing, updates, up to date info on marine rec sites and happenings. ","Tides, windy, google maps, ",No,,Female,45-54 years old,Vancouver Coast & Mountains,
1/20/2021 0:57:43,"Kayaking, Canoeing, snorkeling",Kayaking,9+ years,,1-2 weeks,3-5,4-5 years,trails and info on potential campsites,No,,Yes,Sometimes,planning weektrip kayak,gps as in garmin. ,No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/20/2021 1:04:33,Kayaking,Kayaking,5-8 years,1-2 times,1 day or less (day-trip),0 (solo),4-5 years,Information/planning tool,No,,Yes,Sometimes,Information on where to paddle.,No,No,,Male,65+ years old,Vancouver Island,
1/20/2021 1:04:43,"Stand-up paddling (SUP), Kayaking",Kayaking,9+ years,1-2 times,2-3 days,1-2,4-5 years,I think the preservation of coastal camping sites for paddlers is essential,No,,Yes,Often,"access map, read trip stories",I use Navionics as backup to paper maps.,No,,Male,65+ years old,Hawaii,
1/20/2021 1:12:54,"Sailing, Kayaking, Rowing, Canoeing",Kayaking,9+ years,3-5 times,2-3 days,3-5,More than 5 years,"I wish to support public access to explore, revel in, and steward our natural and unspoilt ecosystems.",Yes,"Site cleanups, site reports, site improvements (bear bins, bathrooms, tables)",Yes,Very Often,To read about progress in adding to and improving the resources BCMTN helps make available to the public.,"Wikiloc - sharing routes, Suunto app - tracking speed, distance, direction, and locations, Earthmate (InReach) - satellite tracking and communication for longer/remote trips, Windy - watching the wind, Weather Underground - weather, iNaturalist - reporting wildlife sightings, plus a few more",Yes,Sometimes,Male,55-64 years old,Vancouver Island,
1/20/2021 1:13:29,"Stand-up paddling (SUP), Kayaking",Stand-up paddling (SUP),3-4 years,3-5 times,1 day or less (day-trip),1-2,I'm not currently a member of BCMT,,No,,Yes,Rarely,Locating Howe sound campsites,Gov can wind report ,No,,Female,45-54 years old,Vancouver Coast & Mountains,
1/20/2021 1:18:13,Kayaking,Kayaking,9+ years,3-5 times,1 day or less (day-trip),3-5,2-3 years,Interest,No,,Yes,Sometimes,Map,"Navionics..plotting, navigating",Yes,Rarely,Male,65+ years old,Vancouver Island,
1/20/2021 1:20:09,"Stand-up paddling (SUP), Kayaking",Stand-up paddling (SUP),3-4 years,3-5 times,1 day or less (day-trip),1-2,I'm not currently a member of BCMT,,No,,Yes,Rarely,Locating Howe sound campsites,Gov can wind report ,No,,Female,45-54 years old,Vancouver Coast & Mountains,
1/20/2021 1:31:33,"Kayaking, Canoeing",Kayaking,1-2 years,1-2 times,1-2 weeks,3-5,I'm not currently a member of BCMT,,No,,Yes,Sometimes,"Searching kayak touring information, routes and camping ",Tides near me & Windy,No,,Female,45-54 years old,Vancouver Coast & Mountains,
1/20/2021 1:31:43,Kayaking,Kayaking,9+ years,1-2 times,4-6 days,1-2,More than 5 years,I’m a believer in the mission of the BCMT. I also find the website full of valuable info.,Yes,Board of Directors-publicity ,Yes,Very Often,Interactive map and other resources.,Windy/govt tide tables,No,,Male,65+ years old,Vancouver Coast & Mountains,
1/20/2021 1:32:19,"Sailing, Kayaking",Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,I'm not currently a member of BCMT,,No,,No,,News on bc marine trails,,No,,Male,65+ years old,Vancouver Island,
1/20/2021 1:36:35,Kayaking,Kayaking,9+ years,6-10 times,4-6 days,3-5,4-5 years,To help with clean ups,Yes,Clean ups,Yes,Often,Map ,"Navionics, Saiflow,Windy",Yes,Sometimes,Female,65+ years old,Vancouver Island,
1/20/2021 1:43:28,Kayaking,Kayaking,5-8 years,3-5 times,1 day or less (day-trip),3-5,1 year or less,Believe in the good it does for our marine enviroment,No,,Yes,Sometimes,To use the map,,No,,Male,55-64 years old,Vancouver Island,
1/20/2021 1:50:00,Kayaking,Kayaking,9+ years,6-10 times,1 day or less (day-trip),3-5,2-3 years,I want to support the Marine Trails work.,No,,Yes,Very Often,Looking for launch sites and measuring paddle lengths.,"Strava, for distance, tracking, and documentation.",No,,Female,65+ years old,Vancouver Island,
1/20/2021 1:54:32,Stand-up paddling (SUP),Stand-up paddling (SUP),less than 1 year,3-5 times,1 day or less (day-trip),0 (solo),1 year or less,to extend my reach for SUP touring ,No,,Yes,Sometimes,to plan trips and identify viable landing spots en route for safety alternatives,"PredictWind/Offshore - weather; Navionics - routing, currents, details; Waterspeed - tracking; ",No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/20/2021 2:03:32,Kayaking,Kayaking,9+ years,3-5 times,2-3 days,1-2,2-3 years,To learn about good kayaking routes and spots for overnighting,No,,Yes,Sometimes,To find good overnight Camping spots, Google Maps offline,Yes,Rarely,Male,55-64 years old,Vancouver Coast & Mountains,
1/20/2021 3:07:06,"Stand-up paddling (SUP), Kayaking, Canoeing",Kayaking,9+ years,3-5 times,1 day or less (day-trip),0 (solo),2-3 years,To support trail expansion ,No,,Yes,Sometimes,Updates on trail expansion and potential volunteer activities ,Navionics,No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/20/2021 4:15:36,"Stand-up paddling (SUP), Kayaking, Canoeing",Kayaking,9+ years,1-2 times,1-2 weeks,3-5,4-5 years,"Because I want to support the development of greater access to marine recreation, to encourage safe and environmentally sound access to BC’s marine coast andthe develpo ",Yes,I was on the stewardship committee,Yes,Always,"To learn about the activities on the coast, to learn  about available campsites and condition",Garmin GPS and satellite communication for emergencies and to stay in contact with family on longer and extreme wilderness trips; on line marine charts for navigation,Yes,Often,Female,65+ years old,Vancouver Island,
1/20/2021 4:45:13,"Kayaking, Canoeing",Kayaking,5-8 years,,1-2 weeks,1-2,4-5 years,Online,No,,Yes,Always,Use of the interactive map to check out possible trips,"Yes, checking weather, tides, campsites, landing spots, stay in touch during trips if in cell range",No,,Female,45-54 years old,"We lived in Vancouver so far, but are now in Germany for the next years",
1/20/2021 8:20:20,"Kayaking, Canoeing",Kayaking,3-4 years,1-2 times,1 day or less (day-trip),1-2,2-3 years,To help plan trips,Yes,Current board secretary,Yes,Always,Map ,"ViewRanger - GPS, tracking",No,,Female,55-64 years old,Thompson Okanagan,
1/20/2021 8:29:39,"Kayaking, Powerboat ",Kayaking,5-8 years,1-2 times,4-6 days,0 (solo),More than 5 years,Access to map / support,Yes,Board / Committee,Yes,Very Often,Map,Weather,Yes,Often,Male,35-44 years old,Vancouver Island,
1/20/2021 8:37:30,"Stand-up paddling (SUP), Kayaking, Power boat",Power boat,9+ years,6-10 times,1 day or less (day-trip),3-5,2-3 years,To help support it,No,,Yes,Sometimes,,,No,,Male,45-54 years old,Vancouver Coast & Mountains,
1/20/2021 8:47:51,Kayaking,Kayaking,9+ years,3-5 times,2-3 days,0 (solo),I'm not currently a member of BCMT,,Yes,beach clean,No,,extension of route on VI west coast,none,No,,Female,65+ years old,Vancouver Island,
1/20/2021 8:47:57,"Sailing, Kayaking",Kayaking,3-4 years,1-2 times,2-3 days,1-2,1 year or less,BCMT does good work!,No,,Yes,Sometimes,use the map,"Google maps, PredictWind, Environment Canada weather, email",No,,Male,55-64 years old,Vancouver Island,
1/20/2021 8:54:26,"Stand-up paddling (SUP), Kayaking, Canoeing",Kayaking,9+ years,3-5 times,1 day or less (day-trip),1-2,More than 5 years,It's importance in protecting our coastline,No,,No,,Information,No,No,,Male,65+ years old,Vancouver Island,
1/20/2021 8:55:43,"Sailing, Kayaking, Canoeing",Kayaking,9+ years,6-10 times,1 day or less (day-trip),1-2,1 year or less,To support our trail systems,No,,No,,Trail status,"Navionics for navigation, Avenza with Topo maps for planning",No,,Male,55-64 years old,Vancouver Island,
1/20/2021 8:57:01,"Stand-up paddling (SUP), Kayaking",Kayaking,3-4 years,1-2 times,1 day or less (day-trip),1-2,2-3 years,Interest in longer trips with camping,No,,Yes,Sometimes,To see what’s possible for longer trips as our skills develop and we can go on multi-day adventures,Yes. Aquamaps. Also Garmon Earthmate (with a Garmin inReach device),No,,Male,45-54 years old,Vancouver Coast & Mountains,
1/20/2021 9:01:16,"Sailing, Kayaking",Sailing,9+ years,3-5 times,2-3 days,1-2,I'm not currently a member of BCMT,,No,,No,,Information,No,No,,Female,65+ years old,Vancouver Island,
1/20/2021 9:05:55,Kayaking,Kayaking,9+ years,1-2 times,1 day or less (day-trip),3-5,I'm not currently a member of BCMT,,No,,No,,,,No,,Male,55-64 years old,Castellón. Spain. Europe,
1/20/2021 9:08:28,Kayaking,Kayaking,9+ years,3-5 times,2-3 days,0 (solo),More than 5 years,To help with trip planning.,No,,Yes,Very Often,Trip planning,"Windy, Spot weather, for weather reports.",No,,Male,55-64 years old,Vancouver Island,
1/20/2021 9:16:39,Kayaking,Kayaking,9+ years,6-10 times,longer than 2 weeks,1-2,I'm not currently a member of BCMT,Campsite information ,No,,Yes,Always,Campsite information ,Navionics,Yes,Sometimes,Female,65+ years old,Alberta,
1/20/2021 9:20:04,Kayaking,Kayaking,3-4 years,3-5 times,1 day or less (day-trip),1-2,2-3 years,For the information you provide on marine train and access to water,No,,Yes,Very Often,Guidance on water trails for day trip,Yes for water conditions ,No,,Female,55-64 years old,Vancouver Island,
1/20/2021 9:44:34,Kayaking,Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,2-3 years,To support your work,No,,Yes,Rarely,Information on launch sites and camp sites,,No,,Male,65+ years old,Vancouver Island,
1/20/2021 9:45:55,Kayaking,Kayaking,5-8 years,3-5 times,2-3 days,3-5,4-5 years,"Info on camp sites, kayak routes",No,,Yes,Sometimes,Gather or confirm info re route or camp site,"Navionics for route planning, WindAlert for weather ",Yes,Rarely,Female,55-64 years old,Vancouver Island,
1/20/2021 9:48:33,Kayaking,Kayaking,1-2 years,6-10 times,1 day or less (day-trip),1-2,1 year or less,Support the organization ,No,,Yes,Sometimes,Map,"Windy, WeatherPro HD, Gaia",No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/20/2021 9:50:13,Kayaking,Kayaking,9+ years,1-2 times,2-3 days,3-5,More than 5 years,Access to the map!,No,,Yes,Always,The map,"Windy, Tides, iNavigator",Yes,Rarely,Female,55-64 years old,Vancouver Island,
1/20/2021 9:54:38,"Stand-up paddling (SUP), Sailing, Kayaking, Canoeing",Kayaking,9+ years,3-5 times,1 day or less (day-trip),1-2,1 year or less,"bought a kayak during pandemic, started paddling much more, interest level way up",No,,Yes,Very Often,Map,no,No,,Male,45-54 years old,Vancouver Coast & Mountains,
1/20/2021 10:10:25,Kayaking,Kayaking,3-4 years,1-2 times,1 day or less (day-trip),1-2,I'm not currently a member of BCMT,,No,,No,,Info on possible trips,Weather,No,,Female,55-64 years old,Vancouver Island,
1/20/2021 10:11:30,"Stand-up paddling (SUP), Kayaking, Rowing, Canoeing",Kayaking,9+ years,1-2 times,1-2 weeks,1-2,1 year or less,To get access to map of sites in mid coast,Yes,I was an original member of the board.,Yes,Sometimes,bc marine trails map,no,Yes,Rarely,Male,55-64 years old,Vancouver Island,
1/20/2021 10:11:36,"Stand-up paddling (SUP), Kayaking, Canoeing",Kayaking,9+ years,3-5 times,1 day or less (day-trip),0 (solo),I'm not currently a member of BCMT,I support the goal of the organization.,Yes,Mapping,Yes,Often,Map,"Mapping apps (Guru, Map Plus, Garmin Explore, etc). Also Google Drive to access offline documents.",Yes,Rarely,Male,35-44 years old,Vancouver Island,
1/20/2021 10:14:06,Boating,Boating,1-2 years,1-2 times,1 day or less (day-trip),3-5,1 year or less,Support marine camp sites,No,,No,,Info for moorage and hikes,Navionics ,No,,Male,35-44 years old,Vancouver Coast & Mountains,
1/20/2021 10:15:58,Kayaking,Kayaking,9+ years,1-2 times,2-3 days,1-2,4-5 years,Information and support,No,,Yes,,Information ,Navigation and tides ,No,,Male,55-64 years old,Thompson Okanagan,
1/20/2021 10:26:38,Kayaking,Kayaking,9+ years,More than 10 times,1 day or less (day-trip),1-2,2-3 years,Because I believe in the work of the group.,No,,Yes,Sometimes,Planning coastal kayak trips,,Yes,Rarely,Female,65+ years old,Thompson Okanagan,
1/20/2021 10:30:56,"Stand-up paddling (SUP), Kayaking",Kayaking,5-8 years,1-2 times,1 day or less (day-trip),0 (solo),I'm not currently a member of BCMT,,No,,No,,,Tide table app,No,,Female,45-54 years old,Vancouver Coast & Mountains,
1/20/2021 10:49:00,Kayaking,Kayaking,9+ years,3-5 times,1 day or less (day-trip),3-5,2-3 years,Interested in the outdoors,No,,Yes,Often,Keeping up to date on gtrails issues and for information on kayaking,"Navigation apps,google earth, weather apps",No,,Male,65+ years old,Vancouver Island,
1/20/2021 10:53:07,Kayaking,Kayaking,3-4 years,6-10 times,1 day or less (day-trip),0 (solo),2-3 years,Route planning and advice,No,,Yes,Often,Route planning and current events ,,No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/20/2021 11:00:32,Kayaking,Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,More than 5 years,Good resource for researching other paddling areas as well as being a voice and advocate for small boat access to coastal BC.,No,,Yes,Sometimes,Keeping up with developments in the paddling community and using the map.,Windy,No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/20/2021 11:05:33,"Sailing, Kayaking, Mountaineering and hiking from boats",Kayaking,9+ years,3-5 times,4-6 days,0 (solo),1 year or less,"Was planning to kayak Victoria to Haines, but, COVID. ",No,,Yes,Sometimes,Research camp sites,No.  I download campsites and waypoints to my handheld gps. ,No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/20/2021 11:08:03,"Stand-up paddling (SUP), Kayaking, snorkling, swimming, fishing, boogy boarding (diving at one time)",Kayaking,9+ years,3-5 times,1 day or less (day-trip),1-2,I'm not currently a member of BCMT,,No,,Yes,Sometimes,information,,No,,Female,65+ years old,Vancouver Island,
1/20/2021 11:11:28,Kayaking,Kayaking,5-8 years,1-2 times,1 day or less (day-trip),1-2,2-3 years,more info on kayaking,No,,Yes,Sometimes,info/map,no,No,,Male,55-64 years old,Vancouver Island,
1/20/2021 11:12:42,"Sailing, Kayaking",Kayaking,5-8 years,3-5 times,1 day or less (day-trip),3-5,2-3 years,"Mapping capabilities, to support the BCMT ",No,,Yes,Very Often,"Campsites, good beach landings",No,Yes,Often,Male,35-44 years old,Vancouver Coast & Mountains,
1/20/2021 11:16:47,"Stand-up paddling (SUP), Sailing, Kayaking",Kayaking,9+ years,1-2 times,2-3 days,1-2,4-5 years,"Great resource, Great organization",No,,Yes,Always,Interest,No,Yes,Often,Male,55-64 years old,Vancouver Island,
1/20/2021 11:17:59,Kayaking,Kayaking,9+ years,3-5 times,4-6 days,3-5,1 year or less,too assist its development. I recently met two men who were the founding members of the Cacadia marine trails Lopez island in San Juan Islands,No,,Yes,Sometimes,Logistics and vetting camping facilities,"Navionics best suited for kayaking , Windy,Tide prdiction,Tide times,vessel,wind alert",No,,Male,55-64 years old,Vancouver Island,
1/20/2021 11:37:05,"Kayaking, Boating",Boating,9+ years,6-10 times,1 day or less (day-trip),1-2,1 year or less,A friend asked me to join to contribite my experience ,No,,No,,To go on day trips in the future ,Windy.ca,No,,Female,65+ years old,Vancouver Island,
1/20/2021 11:49:15,"Kayaking, fishing when possible",Kayaking,5-8 years,6-10 times,1 day or less (day-trip),6-10,2-3 years,The map and an interest in supporting environmental awareness,Yes,Gerald Island,Yes,Often,advice and the map,"navionics, Sailflow, Predict Wind, Windy, Bigwave Dave,",Yes,Sometimes,Male,65+ years old,Vancouver Island,
1/20/2021 11:54:08,"Stand-up paddling (SUP), Sailing, Kayaking",Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,1 year or less,"I have had a long standing belief that the initiative has S beneficial to individuals, promote greAter awareness of the need for and benefit of marine conservation and would support recreational small businesses in coastal communities",No,,No,,I want to see the organization grow and it’s objectives achieved,"No, my trips are currently limited to my immediate locale, however I would use apps that provide information regarding weather conditions, tides, potentially marine traffic if I were to contemplate a longer trip",No,,Male,55-64 years old,Vancouver Island,
1/20/2021 12:08:36,"Kayaking, Canoeing",Kayaking,9+ years,3-5 times,1 day or less (day-trip),3-5,2-3 years,Annual kayaking trips to Vancouver Is. annually from Olympic Peninsula since 2004.,No,,Yes,Often,Maps and campsite info,,No,,Male,65+ years old,Sequim Washington,
1/20/2021 12:12:25,"Sailing, Kayaking",Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,2-3 years,TO get access to the map and to support a good organization,Yes,Trails Dev Committee and CKCC rep,Yes,Sometimes,To use the map,"Navionics, Google Earth, on ipad /iphone",Yes,Rarely,Male,55-64 years old,Vancouver Island,
1/20/2021 12:17:48,"Kayaking, Canoeing, scuba diving",scuba diving,9+ years,3-5 times,1 day or less (day-trip),3-5,2-3 years,,No,,No,,I dream of kayaking BC,tide charts,No,,Male,65+ years old,Oregon,
1/20/2021 12:33:56,Kayaking,Kayaking,3-4 years,1-2 times,2-3 days,3-5,1 year or less,For up to date kayaking information for trip planning,No,,Yes,Often,Trip planning,"Windy, accuweather mainly weather",No,,Female,55-64 years old,Vancouver Island,
